,Unnamed: 0,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2641,2060,2022,SE,FT,Principal Machine Learning Engineer,190000,US,100,US,L
2346,3483,2022,SE,FT,Principal Data Scientist,155499,DE,100,DE,M
0,0,2023,SE,FT,Principal Data Scientist,85847,ES,100,ES,L
3566,3751,2021,MI,FT,Principal Data Scientist,151000,US,100,US,L
3707,3726,2020,SE,FT,Principal Data Scientist,148261,DE,100,DE,M
3636,3474,2021,SE,FT,Principal Data Scientist,220000,US,0,US,L
3531,3725,2021,SE,FT,Principal Data Scientist,173762,DE,100,DE,M
3556,3675,2021,EX,CT,Principal Data Scientist,416000,US,100,US,S
3536,3733,2021,SE,FT,Principal Data Scientist,235000,US,100,US,L
3543,3707,2021,SE,FT,Principal Data Engineer,185000,US,100,US,L
3588,3500,2021,SE,FT,Principal Data Engineer,200000,US,100,US,M
2096,2655,2022,SE,FT,Principal Data Architect,38154,IN,100,IN,L
3482,3595,2021,SE,FT,Principal Data Analyst,170000,US,100,US,M
2345,3454,2022,MI,FT,Principal Data Analyst,75000,CA,100,CA,S
3621,2578,2021,EN,FT,Power BI Developer,5409,IN,50,IN,L
630,1721,2023,SE,FT,NLP Engineer,135000,US,0,US,M
2102,2805,2022,MI,CT,NLP Engineer,60000,IN,100,US,S
2011,2684,2022,MI,FT,NLP Engineer,5132,CZ,100,CZ,M
3003,1919,2022,MI,FT,NLP Engineer,44365,PL,100,PL,S
637,1714,2023,SE,FT,NLP Engineer,275000,US,0,US,M
636,1715,2023,SE,FT,NLP Engineer,175000,US,0,US,M
631,1720,2023,SE,FT,NLP Engineer,235000,US,0,US,M
3627,1444,2021,EN,FT,Marketing Data Engineer,66970,SG,50,SG,L
3172,2570,2022,SE,FT,Marketing Data Analyst,200000,GB,100,GB,S
3663,3563,2021,SE,FT,Marketing Data Analyst,88654,GR,100,DK,L
2930,1821,2022,SE,FT,Manager Data Management,125000,US,100,US,L
2835,1864,2022,SE,FT,Machine Learning Software Engineer,183600,CA,100,CA,M
75,1139,2023,SE,FT,Machine Learning Software Engineer,180000,US,0,US,M
74,1140,2023,SE,FT,Machine Learning Software Engineer,90000,US,0,US,M
69,1145,2023,SE,FT,Machine Learning Software Engineer,272000,US,0,US,M
2992,1917,2022,EN,FT,Machine Learning Software Engineer,10000,MA,50,MA,S
68,1146,2023,SE,FT,Machine Learning Software Engineer,170000,US,0,US,M
2816,2148,2022,SE,FT,Machine Learning Software Engineer,168000,CA,100,CA,M
2817,2147,2022,SE,FT,Machine Learning Software Engineer,227200,CA,100,CA,M
2836,1863,2022,SE,FT,Machine Learning Software Engineer,248400,CA,100,CA,M
2894,1258,2022,SE,FT,Machine Learning Software Engineer,375000,US,100,US,M
2136,2825,2022,SE,FT,Machine Learning Scientist,129300,US,0,US,M
643,1708,2023,SE,FT,Machine Learning Scientist,225000,US,100,US,M
2355,3450,2022,MI,FT,Machine Learning Scientist,153000,US,50,US,M
2483,3058,2022,SE,FT,Machine Learning Scientist,144000,US,0,US,M
2658,2096,2022,MI,FT,Machine Learning Scientist,135000,US,0,US,M
2659,2095,2022,MI,FT,Machine Learning Scientist,165000,US,0,US,M
2137,2824,2022,SE,FT,Machine Learning Scientist,193900,US,0,US,M
3557,3676,2021,SE,FT,Machine Learning Scientist,225000,US,100,CA,L
3584,3495,2021,SE,FT,Machine Learning Scientist,120000,US,50,US,S
3519,3716,2021,MI,FL,Machine Learning Scientist,12000,PK,50,PK,M
642,1709,2023,SE,FT,Machine Learning Scientist,165750,US,100,US,M
2529,3229,2022,MI,FT,Machine Learning Scientist,112300,US,100,US,L
2484,3057,2022,SE,FT,Machine Learning Scientist,216000,US,0,US,M
2454,3133,2022,MI,FT,Machine Learning Scientist,22800,EG,100,EG,M
2530,3228,2022,MI,FT,Machine Learning Scientist,160000,US,100,US,L
1830,2915,2022,EX,FT,Machine Learning Scientist,180000,US,100,US,S
1639,480,2023,MI,FT,Machine Learning Scientist,230000,US,0,US,M
1610,567,2023,SE,FT,Machine Learning Scientist,220000,US,0,US,M
1609,568,2023,SE,FT,Machine Learning Scientist,170000,US,0,US,M
3743,3609,2020,SE,FT,Machine Learning Scientist,260000,JP,0,JP,S
897,900,2023,MI,FT,Machine Learning Scientist,200000,US,0,US,S
3382,2381,2022,EN,FT,Machine Learning Scientist,34672,IT,100,DE,S
1638,481,2023,MI,FT,Machine Learning Scientist,220000,US,0,US,M
3664,3560,2021,EN,FT,Machine Learning Scientist,225000,US,100,US,L
1833,2914,2022,EX,FT,Machine Learning Scientist,200000,US,100,US,S
307,901,2023,MI,FT,Machine Learning Scientist,125000,US,0,US,S
2730,2172,2022,MI,FT,Machine Learning Researcher,105236,CA,50,CA,L
948,324,2023,SE,FL,Machine Learning Researcher,50000,UA,50,UA,S
2650,2077,2022,MI,FT,Machine Learning Researcher,130000,US,100,US,M
2630,2071,2022,MI,FT,Machine Learning Researcher,150000,US,100,US,M
2651,2078,2022,MI,FT,Machine Learning Researcher,100000,US,100,US,M
2629,2072,2022,MI,FT,Machine Learning Researcher,100000,US,100,US,M
3629,3060,2021,EN,FT,Machine Learning Research Engineer,12171,IN,100,IN,M
563,1704,2023,MI,FT,Machine Learning Research Engineer,72914,GB,0,GB,L
2760,2205,2022,EN,FT,Machine Learning Research Engineer,66192,DE,50,DE,L
3611,2819,2021,EN,FT,Machine Learning Research Engineer,20000,FR,50,FR,M
3708,3419,2020,SE,FT,Machine Learning Manager,117104,CA,50,CA,L
2084,2663,2022,SE,FT,Machine Learning Manager,200000,US,100,US,M
2083,2664,2022,SE,FT,Machine Learning Manager,150000,US,100,US,M
94,1176,2023,SE,FT,Machine Learning Infrastructure Engineer,75116,FR,100,FR,M
1946,2965,2022,SE,FT,Machine Learning Infrastructure Engineer,148800,US,100,US,M
3554,3672,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,US,100,US,M
2362,3424,2022,MI,FT,Machine Learning Infrastructure Engineer,55685,PT,50,PT,L
1947,2964,2022,SE,FT,Machine Learning Infrastructure Engineer,186000,US,100,US,M
430,1063,2023,SE,FT,Machine Learning Infrastructure Engineer,171600,US,0,US,M
300,908,2023,MI,FT,Machine Learning Infrastructure Engineer,205920,US,0,US,M
3681,3562,2020,MI,FT,Machine Learning Infrastructure Engineer,50180,PT,0,PT,M
431,1062,2023,SE,FT,Machine Learning Infrastructure Engineer,205920,US,0,US,M
95,1175,2023,SE,FT,Machine Learning Infrastructure Engineer,107309,FR,100,FR,M
299,909,2023,MI,FT,Machine Learning Infrastructure Engineer,171600,US,0,US,M
598,1815,2023,SE,FT,Machine Learning Engineer,134500,US,0,US,L
1581,539,2023,MI,FT,Machine Learning Engineer,130000,US,0,US,M
554,1627,2023,SE,FT,Machine Learning Engineer,142200,US,0,US,M
1590,530,2023,SE,FT,Machine Learning Engineer,184000,US,100,US,M
614,1797,2023,MI,FT,Machine Learning Engineer,63192,GB,100,GB,M
553,1628,2023,MI,FT,Machine Learning Engineer,145000,US,0,US,M
1492,871,2023,SE,FT,Machine Learning Engineer,109400,US,0,US,M
339,1087,2023,SE,FT,Machine Learning Engineer,269000,CA,100,CA,M
1591,529,2023,SE,FT,Machine Learning Engineer,216000,US,100,US,M
611,1800,2023,MI,FT,Machine Learning Engineer,58331,GB,100,GB,M
1670,506,2023,SE,FT,Machine Learning Engineer,172200,US,0,US,M
1491,870,2023,SE,FT,Machine Learning Engineer,139500,US,0,US,M
615,1796,2023,MI,FT,Machine Learning Engineer,75344,GB,100,GB,M
618,1764,2023,SE,FT,Machine Learning Engineer,204500,US,0,US,M
1593,527,2023,MI,FT,Machine Learning Engineer,135000,US,50,US,L
337,1014,2023,SE,FT,Machine Learning Engineer,172200,US,0,US,M
336,1013,2023,SE,FT,Machine Learning Engineer,247500,US,0,US,M
1671,505,2023,SE,FT,Machine Learning Engineer,247500,US,0,US,M
552,1629,2023,MI,FT,Machine Learning Engineer,87000,US,0,US,M
1546,788,2023,SE,FT,Machine Learning Engineer,126000,US,0,US,M
376,1119,2023,SE,FT,Machine Learning Engineer,186000,US,100,US,M
378,1116,2023,SE,FT,Machine Learning Engineer,323300,US,0,US,M
377,1117,2023,SE,FT,Machine Learning Engineer,184700,US,0,US,M
350,1088,2023,SE,FT,Machine Learning Engineer,158000,CA,100,CA,M
1577,670,2023,SE,FT,Machine Learning Engineer,120000,US,100,US,M
368,1127,2023,SE,FT,Machine Learning Engineer,240000,US,100,US,M
585,1770,2023,SE,FT,Machine Learning Engineer,204500,US,0,US,M
584,1771,2023,SE,FT,Machine Learning Engineer,142200,US,0,US,M
1580,540,2023,MI,FT,Machine Learning Engineer,90000,US,0,US,M
356,1082,2023,SE,FT,Machine Learning Engineer,126000,US,0,US,M
610,1801,2023,MI,FT,Machine Learning Engineer,46178,GB,100,GB,M
357,1081,2023,SE,FT,Machine Learning Engineer,163800,US,0,US,M
371,1124,2023,SE,FT,Machine Learning Engineer,150000,US,100,US,M
372,1123,2023,SE,FT,Machine Learning Engineer,200000,US,100,US,M
555,1626,2023,SE,FT,Machine Learning Engineer,204500,US,0,US,M
1551,839,2023,SE,FT,Machine Learning Engineer,153400,US,0,US,M
1549,840,2023,SE,FT,Machine Learning Engineer,122700,US,0,US,M
375,1120,2023,SE,FT,Machine Learning Engineer,153088,US,100,US,M
1659,669,2023,SE,FT,Machine Learning Engineer,150000,US,100,US,M
599,1814,2023,SE,FT,Machine Learning Engineer,261500,US,0,US,L
591,1765,2023,SE,FT,Machine Learning Engineer,142200,US,0,US,M
1034,407,2023,SE,FT,Machine Learning Engineer,241000,US,0,US,M
1487,847,2023,SE,FT,Machine Learning Engineer,153400,US,0,US,M
1196,27,2023,SE,FT,Machine Learning Engineer,200000,US,0,US,M
745,1387,2023,MI,FT,Machine Learning Engineer,110000,US,100,US,L
1082,358,2023,SE,FT,Machine Learning Engineer,304000,US,100,US,M
1119,378,2023,SE,FT,Machine Learning Engineer,202353,US,0,US,M
1120,377,2023,SE,FT,Machine Learning Engineer,289076,US,0,US,M
737,1380,2023,SE,FT,Machine Learning Engineer,150000,US,0,US,M
1127,84,2023,MI,FT,Machine Learning Engineer,96578,NL,100,NL,L
1129,81,2023,SE,FT,Machine Learning Engineer,150000,PT,100,US,M
736,1381,2023,SE,FT,Machine Learning Engineer,125000,US,0,US,M
699,1419,2023,SE,FT,Machine Learning Engineer,220000,US,0,US,M
1172,96,2023,EN,FT,Machine Learning Engineer,145885,US,0,US,M
1173,95,2023,EN,FT,Machine Learning Engineer,163196,US,0,US,M
698,1420,2023,SE,FT,Machine Learning Engineer,150000,US,0,US,M
693,1425,2023,SE,FT,Machine Learning Engineer,276000,US,0,US,M
499,1683,2023,MI,FT,Machine Learning Engineer,219000,US,50,US,L
692,1426,2023,SE,FT,Machine Learning Engineer,184000,US,0,US,M
754,1363,2023,SE,FT,Machine Learning Engineer,126000,US,0,US,M
1070,359,2023,SE,FT,Machine Learning Engineer,199000,US,100,US,M
755,1362,2023,SE,FT,Machine Learning Engineer,163800,US,0,US,M
946,326,2023,MI,FT,Machine Learning Engineer,150450,US,100,US,M
465,1660,2023,SE,FT,Machine Learning Engineer,135000,US,0,US,M
1039,428,2023,SE,FT,Machine Learning Engineer,130000,US,0,US,M
466,1659,2023,SE,FT,Machine Learning Engineer,145000,US,0,US,M
1014,427,2023,SE,FT,Machine Learning Engineer,170000,US,0,US,M
1010,343,2023,SE,FT,Machine Learning Engineer,147000,US,0,US,M
947,325,2023,MI,FT,Machine Learning Engineer,280700,US,100,US,M
1050,448,2023,SE,FT,Machine Learning Engineer,95000,CA,100,CA,M
860,1485,2023,MI,FT,Machine Learning Engineer,50000,AM,0,AM,S
1051,447,2023,SE,FT,Machine Learning Engineer,115000,CA,100,CA,M
930,342,2023,SE,FT,Machine Learning Engineer,257000,US,0,US,M
1055,431,2023,SE,FT,Machine Learning Engineer,125000,US,0,US,M
1066,432,2023,SE,FT,Machine Learning Engineer,100000,US,0,US,M
483,1699,2023,MI,FT,Machine Learning Engineer,140000,US,100,US,M
484,1698,2023,MI,FT,Machine Learning Engineer,175000,US,100,US,M
687,1431,2023,MI,FT,Machine Learning Engineer,180000,US,100,US,M
1209,28,2023,SE,FT,Machine Learning Engineer,130000,US,0,US,M
1486,848,2023,SE,FT,Machine Learning Engineer,122700,US,0,US,M
686,1432,2023,MI,FT,Machine Learning Engineer,150000,US,100,US,M
407,1029,2023,SE,FT,Machine Learning Engineer,109400,US,0,US,M
1366,740,2023,MI,FT,Machine Learning Engineer,150000,US,0,US,M
1033,408,2023,SE,FT,Machine Learning Engineer,181000,US,0,US,M
641,1710,2023,MI,FT,Machine Learning Engineer,109006,GB,0,GB,M
1381,770,2023,SE,FT,Machine Learning Engineer,101228,GB,0,GB,M
1382,783,2023,SE,FT,Machine Learning Engineer,247500,US,0,US,M
1393,769,2023,SE,FT,Machine Learning Engineer,195652,GB,0,GB,M
1401,762,2023,SE,FT,Machine Learning Engineer,109400,US,0,US,M
1402,761,2023,SE,FT,Machine Learning Engineer,139500,US,0,US,M
640,1711,2023,MI,FT,Machine Learning Engineer,67141,GB,0,GB,M
1462,784,2023,SE,FT,Machine Learning Engineer,172200,US,0,US,M
1465,787,2023,SE,FT,Machine Learning Engineer,163800,US,0,US,M
1476,859,2023,SE,FT,Machine Learning Engineer,172200,US,0,US,M
1477,858,2023,SE,FT,Machine Learning Engineer,247500,US,0,US,M
520,1603,2023,SE,FT,Machine Learning Engineer,77262,LV,0,LV,M
409,1028,2023,SE,FT,Machine Learning Engineer,139500,US,0,US,M
1348,146,2023,SE,FT,Machine Learning Engineer,212200,US,100,US,M
412,1025,2023,SE,FT,Machine Learning Engineer,174000,DE,0,DE,M
1305,133,2023,SE,FT,Machine Learning Engineer,342300,US,0,US,L
508,1604,2023,SE,FT,Machine Learning Engineer,38631,LV,0,LV,M
1248,191,2023,MI,FT,Machine Learning Engineer,250000,US,0,US,M
1249,190,2023,MI,FT,Machine Learning Engineer,300000,US,0,US,M
1284,212,2023,SE,FT,Machine Learning Engineer,172200,US,0,US,M
1285,211,2023,SE,FT,Machine Learning Engineer,247500,US,0,US,M
1304,134,2023,SE,FT,Machine Learning Engineer,176100,US,0,US,L
1316,122,2023,SE,FT,Machine Learning Engineer,188800,US,100,US,M
413,1024,2023,SE,FT,Machine Learning Engineer,275000,DE,0,DE,M
1317,121,2023,SE,FT,Machine Learning Engineer,283200,US,100,US,M
1328,166,2023,SE,FT,Machine Learning Engineer,150000,US,0,US,M
419,1017,2023,SE,FT,Machine Learning Engineer,128280,US,0,US,M
418,1018,2023,SE,FT,Machine Learning Engineer,106900,US,0,US,M
1329,165,2023,SE,FT,Machine Learning Engineer,190000,US,0,US,M
1337,145,2023,SE,FT,Machine Learning Engineer,318300,US,100,US,M
1367,739,2023,MI,FT,Machine Learning Engineer,250000,US,0,US,M
2196,2763,2022,SE,FT,Machine Learning Engineer,135000,PR,100,PR,M
1,1130,2023,SE,FT,Machine Learning Engineer,150000,US,100,US,M
2691,2009,2022,SE,FT,Machine Learning Engineer,255000,MX,100,MX,M
3007,1902,2022,SE,FT,Machine Learning Engineer,164000,US,100,US,M
3008,1901,2022,SE,FT,Machine Learning Engineer,192000,US,100,US,M
3009,1900,2022,SE,FT,Machine Learning Engineer,142200,US,0,US,M
3010,1899,2022,SE,FT,Machine Learning Engineer,204500,US,0,US,M
3024,1937,2022,SE,FT,Machine Learning Engineer,135000,US,0,US,M
126,1315,2023,MI,FT,Machine Learning Engineer,121523,GB,0,GB,M
3025,1936,2022,SE,FT,Machine Learning Engineer,145000,US,0,US,M
3041,2069,2022,MI,FT,Machine Learning Engineer,130000,US,0,US,M
123,1319,2023,MI,FT,Machine Learning Engineer,145828,GB,0,GB,M
122,1320,2023,MI,FT,Machine Learning Engineer,121523,GB,0,GB,M
3056,2474,2022,SE,FT,Machine Learning Engineer,116100,CA,100,CA,M
3057,2473,2022,SE,FT,Machine Learning Engineer,187200,CA,100,CA,M
3084,2499,2022,SE,FT,Machine Learning Engineer,142200,US,0,US,M
3085,2498,2022,SE,FT,Machine Learning Engineer,204500,US,0,US,M
3120,2434,2022,MI,FT,Machine Learning Engineer,130000,US,0,US,M
114,1316,2023,MI,FT,Machine Learning Engineer,97218,GB,0,GB,M
3121,2435,2022,MI,FT,Machine Learning Engineer,90000,US,0,US,M
3156,2588,2022,EN,FT,Machine Learning Engineer,108000,US,0,US,S
3223,2519,2022,SE,FT,Machine Learning Engineer,180000,US,100,US,M
3224,2518,2022,SE,FT,Machine Learning Engineer,210000,US,100,US,M
3339,2253,2022,EN,FL,Machine Learning Engineer,100000,IR,100,IR,M
133,1308,2023,MI,FT,Machine Learning Engineer,36000,MX,100,MX,S
2984,1977,2022,SE,FT,Machine Learning Engineer,210000,US,100,US,M
2983,1978,2022,SE,FT,Machine Learning Engineer,150000,US,100,US,M
2774,2191,2022,SE,FT,Machine Learning Engineer,115573,FR,100,FR,M
2694,2006,2022,SE,FT,Machine Learning Engineer,201000,US,100,US,M
2695,2005,2022,SE,FT,Machine Learning Engineer,246000,US,100,US,M
2719,2034,2022,EN,FT,Machine Learning Engineer,12000,AR,100,AR,L
2733,2180,2022,EN,FT,Machine Learning Engineer,140250,US,0,US,M
183,1272,2023,SE,FT,Machine Learning Engineer,153090,US,0,US,M
2734,2179,2022,EN,FT,Machine Learning Engineer,189750,US,0,US,M
1894,3014,2022,EN,FT,Machine Learning Engineer,55410,GB,100,GB,S
179,1262,2023,SE,FT,Machine Learning Engineer,170000,US,0,US,M
2773,2192,2022,SE,FT,Machine Learning Engineer,73546,FR,100,FR,M
2828,2136,2022,SE,FT,Machine Learning Engineer,142200,US,0,US,M
144,1355,2023,SE,FT,Machine Learning Engineer,142200,US,0,US,M
2829,2135,2022,SE,FT,Machine Learning Engineer,204500,US,0,US,M
2845,1854,2022,SE,FT,Machine Learning Engineer,160000,US,100,US,M
2846,1853,2022,SE,FT,Machine Learning Engineer,210000,US,100,US,M
2868,1885,2022,SE,FT,Machine Learning Engineer,201000,US,100,US,M
2869,1884,2022,SE,FT,Machine Learning Engineer,246000,US,100,US,M
2890,1484,2022,SE,FT,Machine Learning Engineer,84053,FR,50,FR,L
2907,114,2022,EN,FT,Machine Learning Engineer,56536,CH,100,CH,S
2909,41,2022,MI,FT,Machine Learning Engineer,20984,IN,50,IN,L
145,1354,2023,SE,FT,Machine Learning Engineer,204500,US,0,US,M
3358,2369,2022,MI,FT,Machine Learning Engineer,80036,GB,0,GB,M
3359,2379,2022,MI,FT,Machine Learning Engineer,104697,CH,100,CH,L
3369,2368,2022,MI,FT,Machine Learning Engineer,104663,GB,0,GB,M
26,1188,2023,SE,FT,Machine Learning Engineer,140000,US,100,US,M
3561,3680,2021,MI,FT,Machine Learning Engineer,46597,PL,100,PL,L
3562,3684,2021,MI,FT,Machine Learning Engineer,88654,BE,100,BE,M
3568,3694,2021,MI,FT,Machine Learning Engineer,24823,SI,50,SI,L
3571,3698,2021,SE,FT,Machine Learning Engineer,200000,US,100,US,L
3582,3492,2021,EN,FT,Machine Learning Engineer,20000,IN,100,IN,S
3591,3505,2021,SE,FT,Machine Learning Engineer,82744,BE,50,BE,M
